Car Name;Model Year;Acceleration;Cylinders;Displacement;Horsepower;Mpg;Number of Records;Origin;Weight
fiat 128;73;19,5;4;68;49;29;1;2;1867
opel manta;73;15,5;4;116;75;24;1;2;2158
audi 100ls;73;14;4;114;91;20;1;2;2582
volvo 144ea;73;15,5;4;121;112;19;1;2;2868
dodge dart custom;73;11;8;318;150;15;1;1;3399
saab 99le;73;14;4;121;110;24;1;2;2660
toyota mark ii;73;13,5;6;156;122;20;1;3;2807
oldsmobile omega;73;11;8;350;180;11;1;1;3664
plymouth duster;74;16,5;6;198;95;20;1;1;3102
ford maverick;74;17;6;200;;21;1;1;2875
amc hornet;74;16;6;232;100;19;1;1;2901
chevrolet nova;74;17;6;250;100;15;1;1;3336
datsun b210;74;19;4;79;67;31;1;3;1950
ford pinto;74;16,5;4;122;80;26;1;1;2451
toyota corolla 1200;74;21;4;71;65;32;1;3;1836
chevrolet vega;74;17;4;140;75;25;1;1;2542
chevrolet chevelle malibu classic;74;17;6;250;100;16;1;1;3781
amc matador;74;18;6;258;110;16;1;1;3632
plymouth satellite sebring;74;16,5;6;225;105;18;1;1;3613
ford gran torino;74;14;8;302;140;16;1;1;4141
buick century luxus (sw);74;14,5;8;350;150;13;1;1;4699
dodge coronet custom (sw);74;13,5;8;318;150;14;1;1;4457
ford gran torino (sw);74;16;8;302;140;14;1;1;4638
amc matador (sw);74;15,5;8;304;150;14;1;1;4257
audi fox;74;16,5;4;98;83;29;1;2;2219
volkswagen dasher;74;15,5;4;79;67;26;1;2;1963
opel manta;74;14,5;4;97;78;26;1;2;2300
toyota corona;74;16,5;4;76;52;31;1;3;1649
datsun 710;74;19;4;83;61;32;1;3;2003
dodge colt;74;14,5;4;90;75;28;1;1;2125
fiat 128;74;15,5;4;90;75;24;1;2;2108
fiat 124 tc;74;14;4;116;75;26;1;2;2246
honda civic;74;15;4;120;97;24;1;3;2489
subaru;74;15,5;4;108;93;26;1;3;2391
fiat x1.9;74;16;4;79;67;31;1;2;2000
plymouth valiant custom;75;16;6;225;95;19;1;1;3264
chevrolet nova;75;16;6;250;105;18;1;1;3459
mercury monarch;75;21;6;250;72;15;1;1;3432
ford maverick;75;19,5;6;250;72;15;1;1;3158
pontiac catalina;75;11,5;8;400;170;16;1;1;4668
chevrolet bel air;75;14;8;350;145;15;1;1;4440
plymouth grand fury;75;14,5;8;318;150;16;1;1;4498
ford ltd;75;13,5;8;351;148;14;1;1;4657
buick century;75;21;6;231;110;17;1;1;3907
chevroelt chevelle malibu;75;18,5;6;250;105;16;1;1;3897
amc matador;75;19;6;258;110;15;1;1;3730
plymouth fury;75;19;6;225;95;18;1;1;3785
buick skyhawk;75;15;6;231;110;21;1;1;3039
chevrolet monza 2+2;75;13,5;8;262;110;20;1;1;3221
ford mustang ii;75;12;8;302;129;13;1;1;3169
toyota corolla;75;16;4;97;75;29;1;3;2171
ford pinto;75;17;4;140;83;23;1;1;2639
amc gremlin;75;16;6;232;100;20;1;1;2914
pontiac astro;75;18,5;4;140;78;23;1;1;2592
toyota corona;75;13,5;4;134;96;24;1;3;2702
volkswagen dasher;75;16,5;4;90;71;25;1;2;2223
datsun 710;75;17;4;119;97;24;1;3;2545
ford pinto;75;14,5;6;171;97;18;1;1;2984
volkswagen rabbit;75;14;4;90;70;29;1;2;1937
amc pacer;75;17;6;232;90;19;1;1;3211
audi 100ls;75;15;4;115;95;23;1;2;2694
peugeot 504;75;17;4;120;88;23;1;2;2957
volvo 244dl;75;14,5;4;121;98;22;1;2;2945
saab 99le;75;13,5;4;121;115;25;1;2;2671
honda civic cvcc;75;17,5;4;91;53;33;1;3;1795
fiat 131;76;15,5;4;107;86;28;1;2;2464
opel 1900;76;16,9;4;116;81;25;1;2;2220
capri ii;76;14,9;4;140;92;25;1;1;2572
dodge colt;76;17,7;4;98;79;26;1;1;2255
renault 12tl;76;15,3;4;101;83;27;1;2;2202
chevrolet chevelle malibu classic;76;13;8;305;140;17,5;1;1;4215
dodge coronet brougham;76;13;8;318;150;16;1;1;4190
amc matador;76;13,9;8;304;120;15,5;1;1;3962
ford gran torino;76;12,8;8;351;152;14,5;1;1;4215
plymouth valiant;76;15,4;6;225;100;22;1;1;3233
chevrolet nova;76;14,5;6;250;105;22;1;1;3353
ford maverick;76;17,6;6;200;81;24;1;1;3012
amc hornet;76;17,6;6;232;90;22,5;1;1;3085
chevrolet chevette;76;22,2;4;85;52;29;1;1;2035
chevrolet woody;76;22,1;4;98;60;24,5;1;1;2164
vw rabbit;76;14,2;4;90;70;29;1;2;1937
honda civic;76;17,4;4;91;53;33;1;3;1795
dodge aspen se;76;17,7;6;225;100;20;1;1;3651
ford granada ghia;76;21;6;250;78;18;1;1;3574
pontiac ventura sj;76;16,2;6;250;110;18,5;1;1;3645
amc pacer d/l;76;17,8;6;258;95;17,5;1;1;3193
volkswagen rabbit;76;12,2;4;97;71;29,5;1;2;1825
datsun b-210;76;17;4;85;70;32;1;3;1990
toyota corolla;76;16,4;4;97;75;28;1;3;2155
ford pinto;76;13,6;4;140;72;26,5;1;1;2565
volvo 245;76;15,7;4;130;102;20;1;2;3150
plymouth volare premier v8;76;13,2;8;318;150;13;1;1;3940
peugeot 504;76;21,9;4;120;88;19;1;2;3270
toyota mark ii;76;15,5;6;156;108;19;1;3;2930
mercedes-benz 280s;76;16,7;6;168;120;16,5;1;2;3820
cadillac seville;76;12,1;8;350;180;16,5;1;1;4380
chevy c10;76;12;8;350;145;13;1;1;4055
ford f108;76;15;8;302;130;13;1;1;3870
dodge d100;76;14;8;318;150;13;1;1;3755
honda accord cvcc;77;18,5;4;98;68;31,5;1;3;2045
buick opel isuzu deluxe;77;14,8;4;111;80;30;1;1;2155
renault 5 gtl;77;18,6;4;79;58;36;1;2;1825
plymouth arrow gs;77;15,5;4;122;96;25,5;1;1;2300
datsun f-10 hatchback;77;16,8;4;85;70;33,5;1;3;1945
chevrolet caprice classic;77;12,5;8;305;145;17,5;1;1;3880
oldsmobile cutlass supreme;77;19;8;260;110;17;1;1;4060
dodge monaco brougham;77;13,7;8;318;145;15,5;1;1;4140
mercury cougar brougham;77;14,9;8;302;130;15;1;1;4295
chevrolet concours;77;16,4;6;250;110;17,5;1;1;3520
buick skylark;77;16,9;6;231;105;20,5;1;1;3425
plymouth volare custom;77;17,7;6;225;100;19;1;1;3630
ford granada;77;19;6;250;98;18,5;1;1;3525
pontiac grand prix lj;77;11,1;8;400;180;16;1;1;4220
chevrolet monte carlo landau;77;11,4;8;350;170;15,5;1;1;4165
chrysler cordoba;77;12,2;8;400;190;15,5;1;1;4325
ford thunderbird;77;14,5;8;351;149;16;1;1;4335
volkswagen rabbit custom;77;14,5;4;97;78;29;1;2;1940
pontiac sunbird coupe;77;16;4;151;88;24,5;1;1;2740
toyota corolla liftback;77;18,2;4;97;75;26;1;3;2265
ford mustang ii 2+2;77;15,8;4;140;89;25,5;1;1;2755
chevrolet chevette;77;17;4;98;63;30,5;1;1;2051
dodge colt m/m;77;15,9;4;98;83;33,5;1;1;2075
subaru dl;77;16,4;4;97;67;30;1;3;1985
volkswagen dasher;77;14,1;4;97;78;30,5;1;2;2190
datsun 810;77;14,5;6;146;97;22;1;3;2815
bmw 320i;77;12,8;4;121;110;21,5;1;2;2600
mazda rx-4;77;13,5;3;80;110;21,5;1;3;2720
volkswagen rabbit custom diesel;78;21,5;4;90;48;43,1;1;2;1985
ford fiesta;78;14,4;4;98;66;36,1;1;1;1800
mazda glc deluxe;78;19,4;4;78;52;32,8;1;3;1985
datsun b210 gx;78;18,6;4;85;70;39,4;1;3;2070
honda civic cvcc;78;16,4;4;91;60;36,1;1;3;1800
oldsmobile cutlass salon brougham;78;15,5;8;260;110;19,9;1;1;3365
dodge diplomat;78;13,2;8;318;140;19,4;1;1;3735
mercury monarch ghia;78;12,8;8;302;139;20,2;1;1;3570
pontiac phoenix lj;78;19,2;6;231;105;19,2;1;1;3535
chevrolet malibu;78;18,2;6;200;95;20,5;1;1;3155
ford fairmont (auto);78;15,8;6;200;85;20,2;1;1;2965
ford fairmont (man);78;15,4;4;140;88;25,1;1;1;2720
plymouth volare;78;17,2;6;225;100;20,5;1;1;3430
amc concord;78;17,2;6;232;90;19,4;1;1;3210
buick century special;78;15,8;6;231;105;20,6;1;1;3380
mercury zephyr;78;16,7;6;200;85;20,8;1;1;3070
dodge aspen;78;18,7;6;225;110;18,6;1;1;3620
amc concord d/l;78;15,1;6;258;120;18,1;1;1;3410
chevrolet monte carlo landau;78;13,2;8;305;145;19,2;1;1;3425
buick regal sport coupe (turbo);78;13,4;6;231;165;17,7;1;1;3445
ford futura;78;11,2;8;302;139;18,1;1;1;3205
dodge magnum xe;78;13,7;8;318;140;17,5;1;1;4080
chevrolet chevette;78;16,5;4;98;68;30;1;1;2155
toyota corona;78;14,2;4;134;95;27,5;1;3;2560
datsun 510;78;14,7;4;119;97;27,2;1;3;2300
dodge omni;78;14,5;4;105;75;30,9;1;1;2230
toyota celica gt liftback;78;14,8;4;134;95;21,1;1;3;2515
plymouth sapporo;78;16,7;4;156;105;23,2;1;1;2745
oldsmobile starfire sx;78;17,6;4;151;85;23,8;1;1;2855
datsun 200-sx;78;14,9;4;119;97;23,9;1;3;2405
audi 5000;78;15,9;5;131;103;20,3;1;2;2830
volvo 264gl;78;13,6;6;163;125;17;1;2;3140
saab 99gle;78;15,7;4;121;115;21,6;1;2;2795
peugeot 604sl;78;15,8;6;163;133;16,2;1;2;3410
volkswagen scirocco;78;14,9;4;89;71;31,5;1;2;1990
honda accord lx;78;16,6;4;98;68;29,5;1;3;2135
pontiac lemans v6;79;15,4;6;231;115;21,5;1;1;3245
mercury zephyr 6;79;18,2;6;200;85;19,8;1;1;2990
ford fairmont 4;79;17,3;4;140;88;22,3;1;1;2890
amc concord dl 6;79;18,2;6;232;90;20,2;1;1;3265
dodge aspen 6;79;16,6;6;225;110;20,6;1;1;3360
chevrolet caprice classic;79;15,4;8;305;130;17;1;1;3840
ford ltd landau;79;13,4;8;302;129;17,6;1;1;3725
mercury grand marquis;79;13,2;8;351;138;16,5;1;1;3955
dodge st. regis;79;15,2;8;318;135;18,2;1;1;3830
buick estate wagon (sw);79;14,9;8;350;155;16,9;1;1;4360
ford country squire (sw);79;14,3;8;351;142;15,5;1;1;4054
chevrolet malibu classic (sw);79;15;8;267;125;19,2;1;1;3605
chrysler lebaron town @ country (sw);79;13;8;360;150;18,5;1;1;3940
vw rabbit custom;79;14;4;89;71;31,9;1;2;1925
maxda glc deluxe;79;15,2;4;86;65;34,1;1;3;1975
dodge colt hatchback custom;79;14,4;4;98;80;35,7;1;1;1915
amc spirit dl;79;15;4;121;80;27,4;1;1;2670
mercedes benz 300d;79;20,1;5;183;77;25,4;1;2;3530
cadillac eldorado;79;17,4;8;350;125;23;1;1;3900
peugeot 504;79;24,8;4;141;71;27,2;1;2;3190
oldsmobile cutlass salon brougham;79;22,2;8;260;90;23,9;1;1;3420
plymouth horizon;79;13,2;4;105;70;34,2;1;1;2200
plymouth horizon tc3;79;14,9;4;105;70;34,5;1;1;2150
datsun 210;79;19,2;4;85;65;31,8;1;3;2020
fiat strada custom;79;14,7;4;91;69;37,3;1;2;2130
buick skylark limited;79;16;4;151;90;28,4;1;1;2670
chevrolet citation;79;11,3;6;173;115;28,8;1;1;2595
oldsmobile omega brougham;79;12,9;6;173;115;26,8;1;1;2700
pontiac phoenix;79;13,2;4;151;90;33,5;1;1;2556
vw rabbit;80;14,7;4;98;76;41,5;1;2;2144
toyota corolla tercel;80;18,8;4;89;60;38,1;1;3;1968
chevrolet chevette;80;15,5;4;98;70;32,1;1;1;2120
datsun 310;80;16,4;4;86;65;37,2;1;3;2019
chevrolet citation;80;16,5;4;151;90;28;1;1;2678
ford fairmont;80;18,1;4;140;88;26,4;1;1;2870
amc concord;80;20,1;4;151;90;24,3;1;1;3003
dodge aspen;80;18,7;6;225;90;19,1;1;1;3381
audi 4000;80;15,8;4;97;78;34,3;1;2;2188
toyota corona liftback;80;15,5;4;134;90;29,8;1;3;2711
mazda 626;80;17,5;4;120;75;31,3;1;3;2542
datsun 510 hatchback;80;15;4;119;92;37;1;3;2434
toyota corolla;80;15,2;4;108;75;32,2;1;3;2265
mazda glc;80;17,9;4;86;65;46,6;1;3;2110
dodge colt;80;14,4;4;156;105;27,9;1;1;2800
datsun 210;80;19,2;4;85;65;40,8;1;3;2110
vw rabbit c (diesel);80;21,7;4;90;48;44,3;1;2;2085
vw dasher (diesel);80;23,7;4;90;48;43,4;1;2;2335
audi 5000s (diesel);80;19,9;5;121;67;36,4;1;2;2950
mercedes-benz 240d;80;21,8;4;146;67;30;1;2;3250
honda civic 1500 gl;80;13,8;4;91;67;44,6;1;3;1850
renault lecar deluxe;80;17,3;4;85;;40,9;1;2;1835
subaru dl;80;18;4;97;67;33,8;1;3;2145
vokswagen rabbit;80;15,3;4;89;62;29,8;1;2;1845
datsun 280-zx;80;11,4;6;168;132;32,7;1;3;2910
mazda rx-7 gs;80;12,5;3;70;100;23,7;1;3;2420
triumph tr7 coupe;80;15,1;4;122;88;35;1;2;2500
ford mustang cobra;80;14,3;4;140;;23,6;1;1;2905
honda accord;80;17;4;107;72;32,4;1;3;2290
plymouth reliant;81;15,7;4;135;84;27,2;1;1;2490
buick skylark;81;16,4;4;151;84;26,6;1;1;2635
dodge aries wagon (sw);81;14,4;4;156;92;25,8;1;1;2620
chevrolet citation;81;12,6;6;173;110;23,5;1;1;2725
plymouth reliant;81;12,9;4;135;84;30;1;1;2385
toyota starlet;81;16,9;4;79;58;39,1;1;3;1755
plymouth champ;81;16,4;4;86;64;39;1;1;1875
honda civic 1300;81;16,1;4;81;60;35,1;1;3;1760
subaru;81;17,8;4;97;67;32,3;1;3;2065
datsun 210 mpg;81;19,4;4;85;65;37;1;3;1975
toyota tercel;81;17,3;4;89;62;37,7;1;3;2050
mazda glc 4;81;16;4;91;68;34,1;1;3;1985
plymouth horizon 4;81;14,9;4;105;63;34,7;1;1;2215
ford escort 4w;81;16,2;4;98;65;34,4;1;1;2045
ford escort 2h;81;20,7;4;98;65;29,9;1;1;2380
volkswagen jetta;81;14,2;4;105;74;33;1;2;2190
renault 18i;81;15,8;4;100;;34,5;1;2;2320
honda prelude;81;14,4;4;107;75;33,7;1;3;2210
toyota corolla;81;16,8;4;108;75;32,4;1;3;2350
datsun 200sx;81;14,8;4;119;100;32,9;1;3;2615
mazda 626;81;18,3;4;120;74;31,6;1;3;2635
peugeot 505s turbo diesel;81;20,4;4;141;80;28,1;1;2;3230
volvo diesel;81;19,6;6;145;76;30,7;1;2;3160
toyota cressida;81;12,6;6;168;116;25,4;1;3;2900
datsun 810 maxima;81;13,8;6;146;120;24,2;1;3;2930
buick century;81;15,8;6;231;110;22,4;1;1;3415
oldsmobile cutlass ls;81;19;8;350;105;26,6;1;1;3725
ford granada gl;81;17,1;6;200;88;20,2;1;1;3060
chrysler lebaron salon;81;16,6;6;225;85;17,6;1;1;3465
chevrolet cavalier;82;19,6;4;112;88;28;1;1;2605
chevrolet cavalier wagon;82;18,6;4;112;88;27;1;1;2640
chevrolet cavalier 2-door;82;18;4;112;88;34;1;1;2395
pontiac j2000 se hatchback;82;16,2;4;112;85;31;1;1;2575
dodge aries se;82;16;4;135;84;29;1;1;2525
pontiac phoenix;82;18;4;151;90;27;1;1;2735
ford fairmont futura;82;16,4;4;140;92;24;1;1;2865
amc concord dl;82;20,5;4;151;;23;1;1;3035
volkswagen rabbit l;82;15,3;4;105;74;36;1;2;1980
mazda glc custom l;82;18,2;4;91;68;37;1;3;2025
mazda glc custom;82;17,6;4;91;68;31;1;3;1970
plymouth horizon miser;82;14,7;4;105;63;38;1;1;2125
mercury lynx l;82;17,3;4;98;70;36;1;1;2125
nissan stanza xe;82;14,5;4;120;88;36;1;3;2160
honda accord;82;14,5;4;107;75;36;1;3;2205
toyota corolla;82;16,9;4;108;70;34;1;3;2245
honda civic;82;15;4;91;67;38;1;3;1965
honda civic (auto);82;15,7;4;91;67;32;1;3;1965
datsun 310 gx;82;16,2;4;91;67;38;1;3;1995
buick century limited;82;16,4;6;181;110;25;1;1;2945
oldsmobile cutlass ciera (diesel);82;17;6;262;85;38;1;1;3015
chrysler lebaron medallion;82;14,5;4;156;92;26;1;1;2585
ford granada l;82;14,7;6;232;112;22;1;1;2835
toyota celica gt;82;13,9;4;144;96;32;1;3;2665
dodge charger 2.2;82;13;4;135;84;36;1;1;2370
chevrolet camaro;82;17,3;4;151;90;27;1;1;2950
ford mustang gl;82;15,6;4;140;86;27;1;1;2790
vw pickup;82;24,6;4;97;52;44;1;2;2130
dodge rampage;82;11,6;4;135;84;32;1;1;2295
ford ranger;82;18,6;4;120;79;28;1;1;2625
chevy s-10;82;19,4;4;119;82;31;1;1;2720
